TF,Target
AT1G09530,AT1G01260
AT1G09530,AT1G01250
AT1G09530,AT1G01650
AT1G09530,AT1G01720
AT1G09530,AT1G02340
AT1G09530,AT1G02350
AT1G09530,AT1G02660
AT1G09530,AT1G02670
AT1G09530,AT1G04171
AT1G09530,AT1G04180
AT1G09530,AT1G04370
AT1G09530,AT1G07090
AT1G09530,AT1G07100
AT1G09530,AT1G07420
AT1G09530,AT1G07670
AT1G09530,AT1G07680
AT1G09530,AT1G08570
AT1G09530,AT1G08560
AT1G09530,AT1G09350
AT1G09530,AT1G10560
AT1G09530,AT1G10550
AT1G09530,AT1G11960
AT1G09530,AT1G11980
AT1G09530,AT1G13240
AT1G09530,AT1G13740
AT1G09530,AT1G14910
AT1G09530,AT1G14920
AT1G09530,AT1G15750
AT1G09530,AT1G16858
AT1G09530,AT1G16860
AT1G09530,AT1G16850
AT1G09530,AT1G19110
AT1G09530,AT1G19320
AT1G09530,AT1G19310
AT1G09530,AT1G19790
AT1G09530,AT1G19800
AT1G09530,AT1G20450
AT1G09530,AT1G20460
AT1G09530,AT1G20870
AT1G09530,AT1G20900
AT1G09530,AT1G20890
AT1G09530,AT1G21040
AT1G09530,AT1G21050
AT1G09530,AT1G21060
AT1G09530,AT1G21590
AT1G09530,AT1G21973
AT1G09530,AT1G21980
AT1G09530,AT1G22060
AT1G09530,AT1G22065
AT1G09530,AT1G23030
AT1G09530,AT1G23020
AT1G09530,AT1G31420
AT1G09530,AT1G31410
AT1G09530,AT1G33070
AT1G09530,AT1G33060
AT1G09530,AT1G33450
AT1G09530,AT1G34630
AT1G09530,AT1G34620
AT1G09530,AT1G49610
AT1G09530,AT1G53170
AT1G09530,AT1G54210
AT1G09530,AT1G60150
AT1G09530,AT1G60190
AT1G09530,AT1G60180
AT1G09530,AT1G62480
AT1G09530,AT1G63090
AT1G09530,AT1G64980
AT1G09530,AT1G67590
AT1G09530,AT1G68020
AT1G09530,AT1G68552
AT1G09530,AT1G68550
AT1G09530,AT1G68560
AT1G09530,AT1G68670
AT1G09530,AT1G68660
AT1G09530,AT1G69010
AT1G09530,AT1G69295
AT1G09530,AT1G69570
AT1G09530,AT1G69690
AT1G09530,AT1G72470
AT1G09530,AT1G72490
AT1G09530,AT1G73120
AT1G09530,AT1G73130
AT1G09530,AT1G73660
AT1G09530,AT1G73670
AT1G09530,AT1G74450
AT1G09530,AT1G74440
AT1G09530,AT1G74840
AT1G09530,AT1G75390
AT1G09530,AT1G75388
AT1G09530,AT1G75450
AT1G09530,AT1G75540
AT1G09530,AT1G76500
AT1G09530,AT1G77740
AT1G09530,AT1G78080
AT1G09530,AT1G78700
AT1G09530,AT1G79370
AT1G09530,AT1G79360
AT1G09530,AT1G79580
AT1G09530,AT1G79590
AT1G09530,AT2G01140
AT1G09530,AT2G01150
AT1G09530,AT2G01420
AT1G09530,AT2G01570
AT1G09530,AT2G03120
AT1G09530,AT2G17290
AT1G09530,AT2G18700
AT1G09530,AT2G28056
AT1G09530,AT2G28400
AT1G09530,AT2G30150
AT1G09530,AT2G31980
AT1G09530,AT2G34020
AT1G09530,AT2G34180
AT1G09530,AT2G34185
AT1G09530,AT2G40008
AT1G09530,AT2G40300
AT1G09530,AT2G40310
AT1G09530,AT2G40540
AT1G09530,AT2G40970
AT1G09530,AT2G40980
AT1G09530,AT2G41850
AT1G09530,AT2G42280
AT1G09530,AT2G42620
AT1G09530,AT2G44910
AT1G09530,AT2G44920
AT1G09530,AT2G45730
AT1G09530,AT2G45740
AT1G09530,AT2G46225
AT1G09530,AT2G46970
AT1G09530,AT2G47500
AT1G09530,AT3G02150
AT1G09530,AT3G02140
AT1G09530,AT3G02570
AT1G09530,AT3G02580
AT1G09530,AT3G02990
AT1G09530,AT3G02980
AT1G09530,AT3G05905
AT1G09530,AT3G05890
AT1G09530,AT3G06760
AT1G09530,AT3G06750
AT1G09530,AT3G11590
AT1G09530,AT3G12120
AT1G09530,AT3G12600
AT1G09530,AT3G12590
AT1G09530,AT3G12930
AT1G09530,AT3G12920
AT1G09530,AT3G13810
AT1G09530,AT3G14205
AT1G09530,AT3G14370
AT1G09530,AT3G14440
AT1G09530,AT3G15540
AT1G09530,AT3G17510
AT1G09530,AT3G18250
AT1G09530,AT3G18485
AT1G09530,AT3G18710
AT1G09530,AT3G18780
AT1G09530,AT3G19590
AT1G09530,AT3G19580
AT1G09530,AT3G20250
AT1G09530,AT3G20640
AT1G09530,AT3G21330
AT1G09530,AT3G21320
AT1G09530,AT3G23030
AT1G09530,AT3G23040
AT1G09530,AT3G23637
AT1G09530,AT3G23640
AT1G09530,AT3G24503
AT1G09530,AT3G24840
AT1G09530,AT3G26210
AT1G09530,AT3G26511
AT1G09530,AT3G26530
AT1G09530,AT3G27210
AT1G09530,AT3G27960
AT1G09530,AT3G29575
AT1G09530,AT3G45600
AT1G09530,AT3G46620
AT1G09530,AT3G47430
AT1G09530,AT3G47420
AT1G09530,AT3G47620
AT1G09530,AT3G50800
AT1G09530,AT3G53668
AT1G09530,AT3G53670
AT1G09530,AT3G54960
AT1G09530,AT3G57800
AT1G09530,AT3G57810
AT1G09530,AT3G57870
